ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,26,10,10,12,12,10,28,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,26,12,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,12,12,10,10,10,10,10,12,10,12,12,12,12,42,42,28,10,10,10,10,10,10,10,12,10,10,12,10,10,12,10,12,12
10/21/2014 7:00:00 AM,32,28,54,38,34,28,40,26,34,30,34,32,24,32,26,32,36,32,38,32,38,36,28,30,36,54,12,12,26,36,28,12,28,40,42,36,28,32,42,38,30,42,30,44,34,24,12,36,12,26,34,32,32,32,32,30,32,28,12,26
10/21/2014 8:00:00 AM,28,34,12,28,40,30,12,26,32,34,28,30,34,30,34,28,26,34,50,32,28,38,48,60,38,24,42,70,64,34,36,32,38,32,30,26,12,32,38,26,36,12,28,32,38,26,12,12,12,12,12,12,30,48,30,26,36,40,30,26
10/21/2014 9:00:00 AM,28,12,12,12,12,12,12,26,12,12,12,10,24,24,12,12,10,12,12,12,24,26,54,76,54,66,79,91,91,91,42,81,68,26,12,12,10,26,12,12,12,12,12,12,12,12,12,12,12,10,10,10,12,12,12,12,10,12,10,12
10/21/2014 10:00:00 AM,12,24,24,12,10,10,12,10,10,10,10,12,12,10,10,10,12,12,10,12,10,10,12,26,12,12,12,10,10,10,26,38,28,42,78,76,78,78,78,56,26,12,12,12,12,12,10,10,12,12,26,44,42,54,26,26,12,12,12,10
10/21/2014 11:00:00 AM,10,12,12,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,10,12,26,12,24,12,12,12,26,10,12,44,34,50,56,83,93,95,93,93,93,88,62,52,32,28,12,24,12,12,12,12,12,12,12,12,12
10/21/2014 12:00:00 PM,12,12,12,12,12,12,12,26,28,30,12,12,26,24,28,12,26,12,12,12,12,12,12,12,26,12,12,30,12,12,12,12,12,26,12,32,12,24,12,12,12,12,28,24,12,12,12,12,12,28,28,12,12,12,12,12,12,26,12,12
10/21/2014 1:00:00 PM,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,26,12,12,10,12,12,12,12,12,10,26,26,34,12,12,12,10,10,12,12,12,12,12,12,24,12,12,12,28,26,26,10,38,26,12,12,12,10,12,26,54,38,42,12,12
10/21/2014 2:00:00 PM,12,12,30,30,42,40,34,12,30,12,24,26,28,28,44,32,28,28,32,30,26,24,24,12,12,26,12,12,28,38,12,12,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,12
10/21/2014 3:00:00 PM,10,10,12,10,10,10,10,10,10,10,10,12,10,10,12,10,12,10,12,30,28,48,24,10,10,10,10,10,10,10,10,10,10,10,10,36,52,30,26,12,10,12,10,12,26,42,38,40,28,34,38,28,32,36,28,10,10,10,40,60
10/21/2014 4:00:00 PM,42,32,12,30,30,36,54,26,30,26,28,12,28,12,26,26,28,40,62,52,40,32,32,26,32,30,34,34,40,38,12,26,12,12,26,28,12,12,26,12,12,10,10,10,12,28,34,26,28,26,30,24,30,12,12,12,12,12,12,42
10/21/2014 5:00:00 PM,42,32,26,12,28,32,30,26,30,28,12,12,28,10,12,12,32,26,10,10,12,12,12,12,12,12,12,12,12,12,12,10,10,10,12,30,12,42,28,12,12,12,12,26,28,26,10,12,30,12,10,12,12,12,12,12,12,12,12,12
10/21/2014 6:00:00 PM,26,34,24,26,30,26,38,28,30,28,30,30,30,30,34,30,28,36,34,12,28,30,28,34,30,32,12,10,10,26,12,42,10,12,28,12,10,10,12,12,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 7:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,28,36,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,26,34,12,26,36,34,26,12,48,48,48,48,48,12,12,24,44,44
10/21/2014 8:00:00 PM,44,44,10,12,12,10,10,12,10,10,10,12,12,12,26,12,10,12,10,10,12,12,10,10,10,10,10,26,10,10,12,10,12,26,28,30,42,34,34,30,10,10,10,10,10,10,12,12,12,30,12,12,12,10,12,10,10,10,12,10
10/21/2014 9:00:00 PM,10,12,10,12,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 10:00:00 PM,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 11:00:00 PM,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12
10/22/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10
